i,X,S,t,m
1,4905430,5055276,14,16384
2,4912262,5055276,14,16384
3,4949052,5055276,14,16384
4,4955226,5055276,14,16384
5,4961542,5055276,14,16384
6,4965396,5055276,14,16384
7,4966416,5055276,14,16384
8,4971604,5055276,14,16384
9,4971658,5055276,14,16384
10,4972196,5055276,14,16384
11,4974180,5055276,14,16384
12,4975682,5055276,14,16384
13,4978884,5055276,14,16384
14,4981688,5055276,14,16384
15,4984250,5055276,14,16384
16,4987904,5055276,14,16384
17,4990736,5055276,14,16384
18,4995288,5055276,14,16384
19,5001004,5055276,14,16384
20,5007090,5055276,14,16384
21,5008100,5055276,14,16384
22,5008550,5055276,14,16384
23,5008912,5055276,14,16384
24,5011210,5055276,14,16384
25,5017368,5055276,14,16384
26,5018648,5055276,14,16384
27,5019168,5055276,14,16384
28,5020890,5055276,14,16384
29,5022504,5055276,14,16384
30,5022726,5055276,14,16384
31,5027390,5055276,14,16384
32,5030086,5055276,14,16384
33,5030368,5055276,14,16384
34,5030604,5055276,14,16384
35,5030614,5055276,14,16384
36,5033684,5055276,14,16384
37,5034812,5055276,14,16384
38,5037180,5055276,14,16384
39,5039762,5055276,14,16384
40,5039880,5055276,14,16384
41,5040874,5055276,14,16384
42,5042592,5055276,14,16384
43,5043906,5055276,14,16384
44,5046192,5055276,14,16384
45,5046480,5055276,14,16384
46,5047684,5055276,14,16384
47,5049352,5055276,14,16384
48,5049714,5055276,14,16384
49,5050214,5055276,14,16384
50,5050406,5055276,14,16384
51,5050774,5055276,14,16384
52,5054894,5055276,14,16384
53,5055938,5055276,14,16384
54,5056724,5055276,14,16384
55,5057560,5055276,14,16384
56,5058864,5055276,14,16384
57,5060040,5055276,14,16384
58,5061824,5055276,14,16384
59,5062096,5055276,14,16384
60,5063742,5055276,14,16384
61,5065612,5055276,14,16384
62,5070874,5055276,14,16384
63,5071058,5055276,14,16384
64,5071502,5055276,14,16384
65,5072390,5055276,14,16384
66,5073438,5055276,14,16384
67,5075268,5055276,14,16384
68,5076432,5055276,14,16384
69,5076598,5055276,14,16384
70,5076966,5055276,14,16384
71,5078986,5055276,14,16384
72,5083856,5055276,14,16384
73,5088860,5055276,14,16384
74,5090730,5055276,14,16384
75,5099792,5055276,14,16384
76,5101448,5055276,14,16384
77,5103920,5055276,14,16384
78,5105576,5055276,14,16384
79,5106698,5055276,14,16384
80,5109952,5055276,14,16384
81,5115468,5055276,14,16384
82,5115624,5055276,14,16384
83,5116812,5055276,14,16384
84,5116928,5055276,14,16384
85,5117188,5055276,14,16384
86,5123608,5055276,14,16384
87,5124554,5055276,14,16384
88,5126118,5055276,14,16384
89,5126998,5055276,14,16384
90,5130812,5055276,14,16384
91,5132238,5055276,14,16384
92,5137586,5055276,14,16384
93,5143116,5055276,14,16384
94,5145070,5055276,14,16384
95,5147414,5055276,14,16384
96,5147970,5055276,14,16384
97,5150992,5055276,14,16384
98,5152276,5055276,14,16384
99,5174202,5055276,14,16384
100,5204578,5055276,14,16384
