i,X,S,t,m
1,4496196,5055276,10,1024
2,4617494,5055276,10,1024
3,4618960,5055276,10,1024
4,4671080,5055276,10,1024
5,4693472,5055276,10,1024
6,4693810,5055276,10,1024
7,4698932,5055276,10,1024
8,4745722,5055276,10,1024
9,4785056,5055276,10,1024
10,4844048,5055276,10,1024
11,4845234,5055276,10,1024
12,4852744,5055276,10,1024
13,4857388,5055276,10,1024
14,4874922,5055276,10,1024
15,4878960,5055276,10,1024
16,4888686,5055276,10,1024
17,4890414,5055276,10,1024
18,4895946,5055276,10,1024
19,4899756,5055276,10,1024
20,4900140,5055276,10,1024
21,4901790,5055276,10,1024
22,4901868,5055276,10,1024
23,4903742,5055276,10,1024
24,4906134,5055276,10,1024
25,4918090,5055276,10,1024
26,4932300,5055276,10,1024
27,4937478,5055276,10,1024
28,4946088,5055276,10,1024
29,4961656,5055276,10,1024
30,4962080,5055276,10,1024
31,4963926,5055276,10,1024
32,4965892,5055276,10,1024
33,4967364,5055276,10,1024
34,4967708,5055276,10,1024
35,4981764,5055276,10,1024
36,4984278,5055276,10,1024
37,4984870,5055276,10,1024
38,4989446,5055276,10,1024
39,5005206,5055276,10,1024
40,5007634,5055276,10,1024
41,5026074,5055276,10,1024
42,5037082,5055276,10,1024
43,5038864,5055276,10,1024
44,5039158,5055276,10,1024
45,5047858,5055276,10,1024
46,5054820,5055276,10,1024
47,5066988,5055276,10,1024
48,5068220,5055276,10,1024
49,5071296,5055276,10,1024
50,5085766,5055276,10,1024
51,5093602,5055276,10,1024
52,5099180,5055276,10,1024
53,5101758,5055276,10,1024
54,5104402,5055276,10,1024
55,5110154,5055276,10,1024
56,5113184,5055276,10,1024
57,5126316,5055276,10,1024
58,5126776,5055276,10,1024
59,5147822,5055276,10,1024
60,5149752,5055276,10,1024
61,5154290,5055276,10,1024
62,5157096,5055276,10,1024
63,5170126,5055276,10,1024
64,5173180,5055276,10,1024
65,5178472,5055276,10,1024
66,5184900,5055276,10,1024
67,5188628,5055276,10,1024
68,5193052,5055276,10,1024
69,5200708,5055276,10,1024
70,5207200,5055276,10,1024
71,5211316,5055276,10,1024
72,5213528,5055276,10,1024
73,5215466,5055276,10,1024
74,5217304,5055276,10,1024
75,5232876,5055276,10,1024
76,5239766,5055276,10,1024
77,5247166,5055276,10,1024
78,5253834,5055276,10,1024
79,5266364,5055276,10,1024
80,5296796,5055276,10,1024
81,5297772,5055276,10,1024
82,5299634,5055276,10,1024
83,5311548,5055276,10,1024
84,5314700,5055276,10,1024
85,5319734,5055276,10,1024
86,5323136,5055276,10,1024
87,5339258,5055276,10,1024
88,5362646,5055276,10,1024
89,5364602,5055276,10,1024
90,5385494,5055276,10,1024
91,5385740,5055276,10,1024
92,5388664,5055276,10,1024
93,5412372,5055276,10,1024
94,5414142,5055276,10,1024
95,5426902,5055276,10,1024
96,5485294,5055276,10,1024
97,5511380,5055276,10,1024
98,5512608,5055276,10,1024
99,5597254,5055276,10,1024
100,5713014,5055276,10,1024
